,file_name,num_slices,num_coils,height,width,mr_type
559,file_brain_AXFLAIR_205_6000181.h5,16,16,640,320,AXFLAIR
587,file_brain_AXFLAIR_201_6002976.h5,16,16,640,320,AXFLAIR
593,file_brain_AXT1_202_2020009.h5,14,16,640,320,AXT1
613,file_brain_AXFLAIR_201_6002960.h5,16,16,640,320,AXFLAIR
630,file_brain_AXT1_202_2020156.h5,16,20,640,320,AXT1
643,file_brain_AXFLAIR_210_6001484.h5,16,16,640,320,AXFLAIR
664,file_brain_AXFLAIR_210_6001479.h5,16,20,640,320,AXFLAIR
665,file_brain_AXFLAIR_201_6002923.h5,16,16,640,320,AXFLAIR
684,file_brain_AXT1_201_6002839.h5,14,20,640,320,AXT1
686,file_brain_AXT1_201_6002824.h5,2,16,640,320,AXT1
712,file_brain_AXT1_201_6002763.h5,16,20,640,320,AXT1
714,file_brain_AXT1_202_2020514.h5,16,20,640,320,AXT1
765,file_brain_AXT1_202_2020069.h5,16,12,640,320,AXT1
766,file_brain_AXFLAIR_210_6001533.h5,16,16,640,320,AXFLAIR
782,file_brain_AXT1_201_6002851.h5,16,16,640,320,AXT1
816,file_brain_AXT1_202_2020186.h5,16,20,640,320,AXT1
834,file_brain_AXFLAIR_200_6002541.h5,16,16,640,320,AXFLAIR
858,file_brain_AXFLAIR_210_6001548.h5,16,16,640,320,AXFLAIR
859,file_brain_AXT1_201_6002859.h5,16,16,640,320,AXT1
860,file_brain_AXFLAIR_210_6001953.h5,16,20,640,320,AXFLAIR
875,file_brain_AXT1_202_2020338.h5,16,16,640,320,AXT1
914,file_brain_AXT1_201_6002708.h5,14,16,640,320,AXT1
915,file_brain_AXFLAIR_209_6001397.h5,16,14,640,320,AXFLAIR
931,file_brain_AXT1_202_2020064.h5,16,16,640,320,AXT1
932,file_brain_AXFLAIR_201_6002911.h5,16,12,640,320,AXFLAIR
935,file_brain_AXT1_202_2020468.h5,16,16,640,320,AXT1
948,file_brain_AXT1_202_2020068.h5,16,16,640,320,AXT1
950,file_brain_AXT1_202_2020509.h5,16,16,640,320,AXT1
956,file_brain_AXT1_206_6000204.h5,16,16,640,320,AXT1
964,file_brain_AXFLAIR_200_6002641.h5,16,16,640,320,AXFLAIR
973,file_brain_AXFLAIR_210_6001914.h5,16,20,640,320,AXFLAIR
980,file_brain_AXFLAIR_201_6002906.h5,16,20,640,320,AXFLAIR
996,file_brain_AXT1_202_2020371.h5,16,20,640,320,AXT1
1001,file_brain_AXT1_201_6002897.h5,16,20,640,320,AXT1
1026,file_brain_AXT1_202_2020418.h5,16,16,640,320,AXT1
1061,file_brain_AXT1_202_2020334.h5,16,20,640,320,AXT1
1069,file_brain_AXT1_202_2020348.h5,16,16,640,320,AXT1
1072,file_brain_AXFLAIR_201_6002881.h5,16,24,640,320,AXFLAIR
1090,file_brain_AXT1_202_2020389.h5,16,16,640,320,AXT1
1098,file_brain_AXT1_202_2020134.h5,16,16,640,320,AXT1
1101,file_brain_AXT1_202_2020349.h5,16,20,640,320,AXT1
1133,file_brain_AXFLAIR_209_6001404.h5,16,12,640,320,AXFLAIR
1145,file_brain_AXFLAIR_200_6002579.h5,16,20,640,320,AXFLAIR
1152,file_brain_AXT1_202_2020246.h5,14,16,640,320,AXT1
1154,file_brain_AXT1_202_2020556.h5,16,12,640,320,AXT1
1155,file_brain_AXT1_202_2020447.h5,16,12,640,320,AXT1
1161,file_brain_AXT1_202_2020396.h5,16,20,640,320,AXT1
1162,file_brain_AXT1_202_2020233.h5,16,20,640,320,AXT1
1169,file_brain_AXT1_202_2020044.h5,16,20,640,320,AXT1
1185,file_brain_AXT1_201_6002802.h5,16,16,640,320,AXT1
1206,file_brain_AXT1_201_6002834.h5,16,16,640,320,AXT1
1215,file_brain_AXFLAIR_201_6003008.h5,16,20,640,320,AXFLAIR
1217,file_brain_AXFLAIR_200_6002576.h5,16,20,640,320,AXFLAIR
1219,file_brain_AXFLAIR_201_6003018.h5,16,16,640,320,AXFLAIR
1229,file_brain_AXT1_202_2020095.h5,16,16,640,320,AXT1
1236,file_brain_AXT1_202_2020248.h5,16,16,640,320,AXT1
1237,file_brain_AXFLAIR_210_6001896.h5,16,16,640,320,AXFLAIR
1244,file_brain_AXT1_202_2020301.h5,16,16,640,320,AXT1
1245,file_brain_AXT1_202_2020320.h5,16,16,640,320,AXT1
1283,file_brain_AXT1_202_2020089.h5,16,20,640,320,AXT1
1300,file_brain_AXT1_202_2020167.h5,16,16,640,320,AXT1
1309,file_brain_AXT1_202_2020384.h5,16,20,640,320,AXT1
1314,file_brain_AXFLAIR_209_6001428.h5,16,14,640,320,AXFLAIR
1331,file_brain_AXT1_202_2020256.h5,16,16,640,320,AXT1
1332,file_brain_AXFLAIR_201_6002871.h5,16,12,640,320,AXFLAIR
1334,file_brain_AXFLAIR_200_6002496.h5,16,16,640,320,AXFLAIR
1339,file_brain_AXFLAIR_205_6000165.h5,16,20,640,320,AXFLAIR
1358,file_brain_AXFLAIR_209_6001348.h5,16,14,640,320,AXFLAIR
1365,file_brain_AXFLAIR_201_6002916.h5,16,20,640,320,AXFLAIR
1383,file_brain_AXFLAIR_201_6003026.h5,16,20,640,320,AXFLAIR
1384,file_brain_AXT1_202_2020404.h5,16,20,640,320,AXT1
1413,file_brain_AXFLAIR_200_6002452.h5,16,20,640,320,AXFLAIR
1431,file_brain_AXFLAIR_200_6002503.h5,16,20,640,320,AXFLAIR
1437,file_brain_AXFLAIR_210_6001480.h5,16,20,640,320,AXFLAIR
1446,file_brain_AXFLAIR_201_6003012.h5,16,16,640,320,AXFLAIR
1453,file_brain_AXFLAIR_200_6002616.h5,16,20,640,320,AXFLAIR
1462,file_brain_AXFLAIR_200_6002629.h5,16,16,640,320,AXFLAIR
1463,file_brain_AXFLAIR_210_6001499.h5,16,16,640,320,AXFLAIR
1471,file_brain_AXT1_202_2020199.h5,16,20,640,320,AXT1
1475,file_brain_AXFLAIR_201_6002939.h5,16,20,640,320,AXFLAIR
1477,file_brain_AXFLAIR_201_6003024.h5,16,20,640,320,AXFLAIR
1490,file_brain_AXFLAIR_200_6002543.h5,16,16,640,320,AXFLAIR
1506,file_brain_AXT1_202_2020131.h5,16,20,640,320,AXT1
1508,file_brain_AXFLAIR_201_6002981.h5,16,20,640,320,AXFLAIR
1517,file_brain_AXT1_202_2020323.h5,16,20,640,320,AXT1
1524,file_brain_AXFLAIR_201_6003005.h5,16,20,640,320,AXFLAIR
1526,file_brain_AXT1_202_2020570.h5,12,16,640,320,AXT1
1565,file_brain_AXFLAIR_200_6002467.h5,16,20,640,320,AXFLAIR
1626,file_brain_AXT1_202_2020488.h5,14,16,640,320,AXT1
1636,file_brain_AXFLAIR_201_6002962.h5,14,16,640,320,AXFLAIR
1639,file_brain_AXT1_202_2020511.h5,16,16,640,320,AXT1
1666,file_brain_AXT1_202_6000332.h5,10,20,640,320,AXT1
1673,file_brain_AXFLAIR_210_6001544.h5,16,20,640,320,AXFLAIR
1680,file_brain_AXFLAIR_201_6002934.h5,16,16,640,320,AXFLAIR
1681,file_brain_AXFLAIR_209_6001413.h5,16,14,640,320,AXFLAIR
1691,file_brain_AXT1_202_2020143.h5,14,12,640,320,AXT1
1699,file_brain_AXFLAIR_200_6002435.h5,16,16,640,320,AXFLAIR
1709,file_brain_AXT1_202_2020431.h5,14,16,640,320,AXT1
1714,file_brain_AXFLAIR_200_6002516.h5,16,16,640,320,AXFLAIR
1731,file_brain_AXFLAIR_210_6001887.h5,16,16,640,320,AXFLAIR
1741,file_brain_AXFLAIR_200_6002442.h5,16,16,640,320,AXFLAIR
1748,file_brain_AXFLAIR_200_6002512.h5,16,16,640,320,AXFLAIR
1749,file_brain_AXFLAIR_210_6001521.h5,16,16,640,320,AXFLAIR
1766,file_brain_AXT1_201_6002717.h5,16,16,640,320,AXT1
1770,file_brain_AXFLAIR_200_6002653.h5,16,16,640,320,AXFLAIR
1780,file_brain_AXFLAIR_210_6001504.h5,16,16,640,320,AXFLAIR
1802,file_brain_AXFLAIR_201_6002957.h5,16,20,640,320,AXFLAIR
1806,file_brain_AXT1_201_6002816.h5,16,16,640,320,AXT1
1823,file_brain_AXFLAIR_200_6002474.h5,16,16,640,320,AXFLAIR
1833,file_brain_AXT1_202_2020516.h5,16,20,640,320,AXT1
1835,file_brain_AXT1_202_2020551.h5,16,2,640,320,AXT1
1852,file_brain_AXFLAIR_200_6002501.h5,16,20,640,320,AXFLAIR
1861,file_brain_AXFLAIR_209_6001395.h5,16,14,640,320,AXFLAIR
1869,file_brain_AXT1_201_6002836.h5,16,20,640,320,AXT1
1877,file_brain_AXFLAIR_201_6002940.h5,16,16,640,320,AXFLAIR
1883,file_brain_AXT1_201_6002847.h5,16,12,640,320,AXT1
1899,file_brain_AXFLAIR_210_6001485.h5,16,16,640,320,AXFLAIR
1903,file_brain_AXT1_202_2020151.h5,16,20,640,320,AXT1
1909,file_brain_AXT1_202_2020282.h5,12,12,640,320,AXT1
1910,file_brain_AXT1_202_2020496.h5,16,20,640,320,AXT1
1931,file_brain_AXFLAIR_209_6001421.h5,16,14,640,320,AXFLAIR
1974,file_brain_AXT1_202_2020377.h5,16,16,640,320,AXT1
1987,file_brain_AXT1_202_2020098.h5,12,16,640,320,AXT1
1993,file_brain_AXFLAIR_200_6002466.h5,16,20,640,320,AXFLAIR
1997,file_brain_AXT1_202_2020146.h5,16,16,640,320,AXT1
1999,file_brain_AXFLAIR_201_6002951.h5,14,16,640,320,AXFLAIR
2002,file_brain_AXFLAIR_210_6001557.h5,16,16,640,320,AXFLAIR
2017,file_brain_AXT1_202_2020195.h5,14,20,640,320,AXT1
2018,file_brain_AXFLAIR_200_6002567.h5,14,20,640,320,AXFLAIR
2023,file_brain_AXT1_202_6000340.h5,12,16,640,320,AXT1
2063,file_brain_AXFLAIR_200_6002618.h5,16,16,640,320,AXFLAIR
2092,file_brain_AXFLAIR_201_6002941.h5,16,20,640,320,AXFLAIR
2096,file_brain_AXT1_201_6002779.h5,16,16,640,320,AXT1
2099,file_brain_AXT1_206_2060028.h5,16,16,640,320,AXT1
2119,file_brain_AXFLAIR_200_6002585.h5,16,16,640,320,AXFLAIR
2122,file_brain_AXT1_202_6000339.h5,16,16,640,320,AXT1
2125,file_brain_AXT1_202_2020568.h5,16,16,640,320,AXT1
2153,file_brain_AXT1_206_2060051.h5,16,20,640,320,AXT1
2175,file_brain_AXT1_201_6002800.h5,16,20,640,320,AXT1
2179,file_brain_AXT1_206_2060085.h5,16,16,640,320,AXT1
2182,file_brain_AXFLAIR_201_6002878.h5,16,16,640,320,AXFLAIR
2194,file_brain_AXFLAIR_200_6002522.h5,16,16,640,320,AXFLAIR
2197,file_brain_AXFLAIR_201_6002947.h5,14,20,640,320,AXFLAIR
2201,file_brain_AXFLAIR_209_6001374.h5,16,12,640,320,AXFLAIR
2210,file_brain_AXFLAIR_201_6002993.h5,16,20,640,320,AXFLAIR
2213,file_brain_AXFLAIR_210_6001545.h5,14,20,640,320,AXFLAIR
2214,file_brain_AXT1_202_6000465.h5,16,20,640,320,AXT1
2223,file_brain_AXT1_202_2020109.h5,16,20,640,320,AXT1
2228,file_brain_AXT1_202_6000312.h5,16,16,640,320,AXT1
2232,file_brain_AXT1_202_2020059.h5,16,16,640,320,AXT1
